id;control;produto;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
1;VINHO DE MESa;VINHO DE MESa;98.327.606,00;114.399.031,00;118.377.367,00;116.617.910,00;94.173.324,00;108.031.792,00;139.238.614,00;140.813.114,00;141.293.379,00;149.609.112,00;122.825.298,00;128.894.580,00;166.861.772,00;195.616.620,00;171.619.507,00;185.191.837,00;203.130.018,00;131.065.191,00;150.678.647,00;172.921.267,00;164.725.646,00;190.134.895,00;180.230.431,00;201.168.480,00;180.295.366,00;146.583.828,00;165.831.436,00;174.768.638,00;181.576.649,00;200.578.746,00;221.023.603,00;221.518.224,00;227.447.392,00;217.082.959,00;225.021.830,00;271.248.493,00;245.625.614,00;226.710.045,00;200.488.612,00;234.525.979,00;221.242.945,00;230.310.468,00;206.969.571,00;221.590.810,00;206.404.427,00;209.198.468,00;166.769.622,00;176.059.959,00;177.186.273,00;180.446.489,00;215.557.931,00;210.012.238,00;187.939.996,00;187.016.848,00
2;vm_Tinto;  Tinto;83.300.735,00;98.522.869,00;101.167.932,00;98.196.747,00;77.167.303,00;91.528.090,00;116.407.222,00;116.609.545,00;117.203.914,00;119.496.652,00;99.646.124,00;99.151.812,00;131.957.890,00;151.852.639,00;129.249.097,00;138.710.394,00;153.357.217,00;96.590.206,00;114.100.716,00;136.642.954,00;120.889.721,00;141.726.264,00;138.190.489,00;157.031.022,00;140.192.480,00;108.968.350,00;122.549.540,00;127.693.158,00;133.479.291,00;150.857.434,00;172.183.792,00;176.793.696,00;181.274.195,00;179.225.328,00;186.236.086,00;227.987.458,00;209.438.207,00;190.526.781,00;172.020.779,00;193.004.182,00;188.649.074,00;196.562.722,00;173.964.776,00;188.033.494,00;178.250.072,00;182.028.785,00;146.646.365,00;154.309.442,00;155.115.499,00;158.519.218,00;189.573.423,00;185.653.678,00;165.067.340,00;165.097.539,00
3;vm_Rosado;  Rosado;107.681,00;542.274,00;7.770.851,00;8.425.617,00;8.891.367,00;7.261.777,00;11.748.047,00;15.195.525,00;14.612.454,00;18.643.308,00;14.746.625,00;16.360.547,00;15.786.964,00;23.841.328,00;21.724.540,00;23.988.088,00;28.544.630,00;21.376.304,00;17.329.181,00;14.564.451,00;16.482.188,00;16.322.381,00;12.822.511,00;13.767.249,00;13.762.956,00;11.653.971,00;13.374.874,00;13.550.872,00;12.980.172,00;13.221.934,00;9.150.927,00;7.283.912,00;8.434.812,00;6.945.806,00;5.478.618,00;3.562.059,00;3.071.382,00;2.252.558,00;1.840.779,00;2.307.580,00;2.036.928,00;1.668.823,00;1.738.134,00;1.777.648,00;1.419.855,00;1.409.002,00;1.391.942,00;1.097.426,00;1.972.944,00;1.265.435,00;1.394.901,00;1.931.606,00;2.213.723,00;2.520.748,00
4;vm_Branco;  Branco;14.919.190,00;15.333.888,00;9.438.584,00;9.995.546,00;8.114.654,00;9.241.925,00;11.083.345,00;9.008.044,00;9.477.011,00;11.469.152,00;8.432.549,00;13.382.221,00;19.116.918,00;19.922.653,00;20.645.870,00;22.493.355,00;21.228.171,00;13.098.681,00;19.248.750,00;21.713.862,00;27.353.737,00;32.086.250,00;29.217.431,00;30.370.209,00;26.339.930,00;25.961.507,00;29.907.022,00;33.524.608,00;35.117.186,00;36.499.378,00;39.688.884,00;37.440.616,00;37.738.385,00;30.911.825,00;33.307.126,00;39.698.976,00;33.116.025,00;29.122.090,00;26.627.054,00;39.214.217,00;30.556.943,00;32.078.923,00;31.266.661,00;31.779.668,00;26.734.500,00;25.760.681,00;18.731.315,00;20.653.091,00;20.097.830,00;20.661.836,00;24.589.607,00;22.426.954,00;20.658.933,00;19.398.561,00
5;VINHO  FINO DE MESa;VINHO  FINO DE MESa;4.430.629,00;4.840.369,00;5.602.091,00;7.202.830,00;7.571.802,00;8.848.303,00;14.095.648,00;14.975.330,00;17.596.956,00;21.695.829,00;22.976.342,00;21.607.857,00;26.302.928,00;32.690.119,00;42.164.393,00;44.599.207,00;50.881.779,00;34.335.860,00;40.014.386,00;50.390.262,00;39.885.259,00;37.526.111,00;39.537.060,00;49.916.112,00;46.541.918,00;40.195.501,00;43.695.771,00;46.442.209,00;32.456.318,00;37.096.571,00;34.195.829,00;28.701.658,00;25.438.750,00;23.293.171,00;19.884.366,00;22.306.004,00;22.767.358,00;21.485.699,00;23.167.738,00;33.080.270,00;21.390.159,00;19.967.310,00;22.469.950,00;27.912.934,00;20.424.983,00;20.141.631,00;19.630.158,00;15.874.354,00;14.826.143,00;15.684.588,00;24.310.834,00;27.080.445,00;21.533.487,00;18.589.310,00
6;vm_Tinto;  Tinto;435.354,00;428.927,00;624.499,00;783.508,00;1.616.144,00;2.050.960,00;4.450.570,00;4.504.303,00;4.920.802,00;6.360.276,00;7.244.385,00;7.403.644,00;7.699.010,00;9.811.525,00;14.797.285,00;13.133.683,00;15.664.511,00;10.144.561,00;11.713.661,00;14.737.896,00;11.141.857,00;9.015.204,00;10.712.402,00;11.988.665,00;13.290.842,00;12.299.213,00;13.540.528,00;18.303.579,00;11.925.188,00;14.706.398,00;15.119.076,00;12.112.495,00;12.109.658,00;12.559.693,00;10.859.722,00;13.335.767,00;13.920.655,00;13.872.339,00;13.920.224,00;19.576.295,00;15.184.398,00;14.876.896,00;15.443.016,00;19.121.750,00;15.354.938,00;15.572.632,00;15.228.514,00;12.021.684,00;11.150.517,00;11.433.702,00;18.202.453,00;19.337.862,00;15.258.778,00;12.450.606,00
7;vm_Rosado;  Rosado;183.234,00;227.299,00;403.664,00;1.377.333,00;1.725.564,00;2.130.619,00;3.118.919,00;3.248.565,00;3.501.895,00;4.119.615,00;5.096.819,00;2.738.962,00;3.608.877,00;3.548.807,00;3.714.334,00;3.510.330,00;3.685.709,00;2.328.264,00;1.939.881,00;2.596.587,00;1.583.368,00;1.342.140,00;1.130.509,00;1.639.949,00;1.631.454,00;1.540.910,00;1.457.704,00;1.997.373,00;1.585.687,00;1.479.987,00;1.021.310,00;790.176,00;650.263,00;579.724,00;390.371,00;472.971,00;307.189,00;416.285,00;313.513,00;213.835,00;236.802,00;211.484,00;150.806,00;214.269,00;164.219,00;169.185,00;172.351,00;182.080,00;262.430,00;503.524,00;993.248,00;1.603.537,00;1.318.396,00;1.214.583,00
8;vm_Branco;  Branco;3.812.041,00;4.184.143,00;4.573.928,00;5.041.989,00;4.230.094,00;4.666.724,00;6.526.159,00;7.222.462,00;9.174.259,00;11.215.938,00;10.635.138,00;11.465.251,00;14.995.041,00;19.329.787,00;23.652.774,00;27.955.194,00;31.531.559,00;21.863.035,00;26.360.844,00;33.055.779,00;27.160.034,00;27.168.767,00;27.694.149,00;36.287.498,00;31.619.622,00;26.355.378,00;28.697.539,00;26.141.257,00;18.945.443,00;20.910.186,00;18.055.443,00;15.798.987,00;12.678.829,00;10.153.754,00;8.634.273,00;8.497.266,00;8.539.514,00;7.197.075,00;8.934.001,00;13.290.140,00;5.968.959,00;4.878.930,00;6.876.128,00;8.576.915,00;4.905.826,00;4.399.814,00;4.229.293,00;3.670.590,00;3.413.196,00;3.747.362,00;5.115.133,00;6.139.046,00;4.956.314,00;4.924.121,00
9;VINHO FRIZANTe;VINHO FRIZANTe;466.480,00;358.116,00;356.340,00;327.865,00;270.641,00;301.293,00;248.456,00;143.575,00;13.915,00;14.578,00;9.303,00;13.354,00;176.692,00;147.892,00;0,00;0,00;0,00;0,00;248.840,00;275.708,00;310.524,00;268.563,00;161.507,00;359.420,00;183.160,00;136.526,00;260.638,00;221.733,00;15.370,00;12.861,00;2.583,00;0,00;5.003,00;5.203,00;17.225,00;111.666,00;258.248,00;250.114,00;441.691,00;1.003.596,00;1.851.136,00;1.706.679,00;1.605.767,00;1.764.851,00;1.893.469,00;1.836.167,00;1.727.386,00;1.586.985,00;1.638.337,00;1.826.433,00;2.557.585,00;3.696.762,00;2.875.864,00;2.843.600,00
10;VINHO ORGaNICo;VINHO ORGaNICo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.554,00;10.718,00;18.686,00;14.947,00;9.123,00
11;VINHO ESPECIAl;VINHO ESPECIAl;7.325.789,00;7.824.931,00;8.737.605,00;9.693.953,00;7.638.484,00;10.260.445,00;12.392.725,00;11.569.676,00;10.247.572,00;13.790.557,00;11.056.774,00;6.907.060,00;5.011.009,00;5.393.631,00;5.535.657,00;4.766.741,00;4.636.751,00;2.969.853,00;2.328.150,00;1.788.772,00;1.371.223,00;1.354.861,00;882.564,00;1.849.251,00;1.423.645,00;1.396.441,00;1.261.662,00;790.617,00;194.075,00;234.696,00;249.345,00;492.272,00;270.364,00;205.269,00;66.989,00;285.994,00;172.176,00;106.333,00;65,00;113,00;293,00;699,00;239,00;2.257,00;7.231,00;593,00;331,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
12;ve_Tinto;  Tinto;4.730.346,00;4.802.828,00;4.347.706,00;5.017.487,00;3.763.509,00;4.815.235,00;4.819.463,00;3.959.050,00;4.083.073,00;7.004.780,00;4.608.059,00;1.906.240,00;939.619,00;1.034.452,00;1.043.073,00;863.932,00;749.197,00;372.184,00;525.229,00;288.905,00;266.887,00;326.807,00;217.945,00;542.146,00;589.529,00;628.481,00;264.304,00;136.027,00;50.870,00;56.589,00;177.872,00;281.260,00;258.412,00;87.544,00;51.824,00;278.339,00;171.361,00;106.333,00;65,00;113,00;293,00;699,00;239,00;2.257,00;7.231,00;593,00;331,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
13;ve_Rosado;  Rosado;1.229.564,00;1.662.821,00;1.901.801,00;2.062.011,00;1.989.341,00;2.885.972,00;4.231.765,00;4.034.615,00;4.177.476,00;5.067.851,00;4.312.513,00;3.388.872,00;2.418.770,00;2.735.222,00;2.308.400,00;2.145.100,00;2.057.888,00;1.122.648,00;887.025,00;876.167,00;595.973,00;487.553,00;304.897,00;243.582,00;104.886,00;86.933,00;70.536,00;145.144,00;2.074,00;112.392,00;0,00;12.833,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
14;ve_Branco;  Branco;1.365.879,00;1.359.282,00;2.488.098,00;2.614.455,00;1.885.634,00;2.559.238,00;3.341.497,00;3.576.011,00;1.987.023,00;1.717.926,00;2.136.202,00;1.611.948,00;1.652.620,00;1.623.957,00;2.184.184,00;1.757.709,00;1.829.666,00;1.475.021,00;915.896,00;623.700,00;508.363,00;540.501,00;359.722,00;1.063.523,00;729.230,00;681.027,00;926.822,00;509.446,00;141.131,00;65.715,00;71.473,00;198.179,00;11.952,00;117.725,00;15.165,00;7.655,00;815,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
15;ESPUMANTES ,ESPUMANTES ,2.743.678,00;2.907.289,00;3.523.335,00;3.625.230,00;3.442.734,00;3.691.348,00;4.204.666,00;4.150.746,00;3.684.240,00;3.246.929,00;3.257.451,00;2.301.421,00;2.432.386,00;2.601.590,00;2.778.815,00;3.238.436,00;4.058.335,00;3.006.097,00;2.845.663,00;3.766.581,00;2.720.096,00;2.442.072,00;1.846.809,00;2.183.871,00;2.661.540,00;2.276.321,00;2.154.497,00;3.054.624,00;3.253.174,00;5.606.536,00;4.330.795,00;4.494.015,00;4.267.544,00;4.798.284,00;5.485.441,00;6.776.672,00;7.728.838,00;8.596.406,00;9.539.610,00;11.242.890,00;12.647.906,00;13.305.275,00;14.889.147,00;15.978.504,00;17.191.075,00;18.897.144,00;16.945.710,00;17.583.283,00;18.218.375,00;22.759.859,00;22.610.762,00;31.242.697,00;29.525.942,00;29.381.635,00
16;es_Espumante_Moscatel;  Espumante  Moscatel;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19.222,00;29.712,00;50.670,00;194.723,00;474.162,00;525.996,00;594.044,00;673.332,00;1.071.448,00;1.320.959,00;1.585.203,00;1.905.395,00;2.500.230,00;2.946.179,00;2.996.441,00;3.610.289,00;3.783.531,00;4.588.465,00;5.010.704,00;4.507.467,00;5.561.181,00;6.526.075,00;8.997.187,00;9.298.571,00;12.240.059,00;12.204.315,00;9.771.698,00
17;es_Espumante;  Espumante;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.035.402,00;3.223.462,00;5.555.866,00;4.136.072,00;4.019.853,00;3.741.548,00;4.204.240,00;4.812.109,00;5.705.224,00;6.407.879,00;7.011.203,00;7.634.215,00;8.742.660,00;9.701.727,00;10.308.834,00;11.278.858,00;12.194.973,00;12.602.610,00;13.886.440,00;12.438.243,00;12.022.102,00;11.692.300,00;13.762.361,00;13.311.450,00;19.001.999,00;17.321.031,00;19.609.379,00
18;es_Espumante Organico;  Espumante Organico;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;311,00;742,00;639,00;597,00;558,00
19;SUCO DE UVAs;SUCO DE UVAs;2.626.855,00;2.745.249,00;4.069.351,00;5.668.991,00;4.673.891,00;5.802.187,00;6.433.821,00;6.814.893,00;6.963.440,00;6.096.784,00;5.837.620,00;3.994.038,00;4.081.256,00;4.625.317,00;6.167.053,00;4.711.949,00;5.767.993,00;4.932.369,00;4.191.947,00;4.642.831,00;5.431.892,00;7.630.442,00;5.699.977,00;7.605.488,00;6.504.949,00;4.865.675,00;4.495.950,00;4.996.959,00;9.025.797,00;7.778.310,00;6.847.466,00;11.498.893,00;9.140.897,00;7.496.195,00;8.805.190,00;14.675.316,00;15.640.857,00;18.514.411,00;21.568.032,00;29.131.455,00;35.164.681,00;45.222.136,00;53.832.204,00;75.973.297,00;88.013.377,00;115.288.072,00;92.290.851,00;107.243.326,00;140.472.108,00;147.907.617,00;144.889.668,00;147.753.321,00;157.125.036,00;166.708.720,00
20;su_Suco_Natural;  Suco Natural Integral;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;131.628.685,00;114.453.657,00;115.173.833,00;115.394.795,00;129.419.407,00
21;su_Suco_Adocado;  Suco Adocado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;128.599,00
22;su_Suco_Reprocessado;  Suco Reprocessado/reconstituido;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.759.932,00;22.066.742,00;26.136.089,00;35.139.154,00;34.402.925,00
23;su_Suco_Organico;  Suco Organico;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;416.849,00;553.391,00;902.299,00;1.002.685,00;932.154,00
24;su_Outros_sucos;  Outros sucos de uvas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.102.151,00;7.815.879,00;5.541.100,00;5.588.403,00;1.825.635,00
25;SUCO DE UVAS CONCENTRADo;SUCO DE UVAS CONCENTRADo;0,00;0,00;59.044,00;1.951.966,00;1.619.428,00;768.401,00;1.467.883,00;2.444.089,00;2.454.178,00;2.751.886,00;4.142.363,00;3.064.156,00;3.148.110,00;3.447.837,00;3.923.167,00;5.736.808,00;7.553.410,00;5.969.562,00;5.656.096,00;6.716.197,00;8.211.959,00;7.311.205,00;10.607.336,00;12.178.160,00;10.005.084,00;11.029.248,00;11.625.777,00;16.724.519,00;13.944.137,00;16.261.806,00;15.315.971,00;14.704.091,00;16.499.202,00;15.246.651,00;19.218.964,00;23.221.898,00;23.228.388,00;25.603.588,00;27.880.465,00;31.861.857,00;30.827.991,00;34.892.316,00;33.529.324,00;38.369.914,00;39.359.935,00;34.923.477,00;28.859.784,00;26.815.645,00;23.572.263,00;28.721.470,00;22.422.414,00;26.730.942,00;33.632.834,00;37.852.507,00
26;OUTROS PRODUTOS COMERCIALIZADOs;OUTROS PRODUTOS COMERCIALIZADOs;19.844.550,00;20.351.384,00;23.615.205,00;25.401.454,00;24.530.878,00;23.102.540,00;28.321.777,00;27.333.925,00;29.509.570,00;29.719.709,00;18.053.687,00;19.698.180,00;17.770.629,00;13.706.809,00;15.284.617,00;15.655.775,00;19.777.809,00;25.522.173,00;24.276.716,00;19.148.275,00;17.145.444,00;18.701.133,00;13.669.760,00;17.047.905,00;21.351.477,00;21.348.586,00;27.574.147,00;31.437.414,00;29.935.005,00;34.388.096,00;37.168.164,00;30.853.863,00;29.950.775,00;29.636.903,00;32.261.664,00;32.226.420,00;27.088.994,00;27.833.872,00;28.697.650,00;26.554.757,00;29.023.870,00;28.783.827,00;30.316.511,00;36.841.561,00;34.963.296,00;31.922.948,00;27.120.309,00;28.027.052,00;31.246.158,00;34.794.651,00;26.547.242,00;26.657.930,00;31.704.382,00;29.889.342,00
27;ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informacao detalhada),0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.734.763,00;310.886,00;192.057,00;17.618,00;8.812,00;8.152,00
