id;control;produto;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
28;ou_Agrin;  Agrin (fermentado; acetico misto);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.861.278,00;7.419.736,00;7.677.906,00;7.188.135,00;7.268.443,00;6.745.427,00;6.852.708,00;5.997.697,00;5.311.258,00;56.936,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00,0
29;ou_Aguardente;  Aguardente de vinho 50Â°gl;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;866,00;0,00;0,00;111,00
30;ou_Alcool_vinico;  Alcool vinico;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.315,00;49.662,00;21.575,00;0,00;6.640,00;0,00;0,00;0,00
31;ou_Bagaceira;  Bagaceira (graspa),1.192.987,00;1.111.014,00;1.059.696,00;997.624,00;839.441,00;706.946,00;698.399,00;595.137,00;432.596,00;812.433,00;494.061,00;1.770.895,00;496.554,00;339.085,00;434.913,00;289.415,00;353.074,00;236.724,00;285.409,00;202.478,00;174.148,00;149.352,00;38.015,00;53.928,00;20.016,00;39.232,00;46.959,00;33.549,00;14.356,00;5.121,00;8.213,00;13.881,00;23.901,00;28.128,00;31.294,00;31.048,00;29.939,00;21.186,00;23.195,00;21.133,00;16.413,00;18.111,00;14.710,00;17.075,00;14.472,00;16.268,00;9.301,00;9.257,00;6.929,00;8.746,00;7.610,00;7.676,00;5.594,00;0,00
32;ou_Base_champenoise;  Base champenoise champanha;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69.800,00;0,00;11,00;41.134,00;42.671,00;27.078,00;46.476,00;72.774,00;74.805,00;48.866,00;74.941,00;65.692,00;8.772,00;9.580,00;60.958,00;66.290,00
33;ou_Base_charmat;  Base charmat champanha;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;56,00;0,00;42.847,00;66.220,00;46.518,00;97.260,00;75.067,00;117.404,00;122.356,00;298.836,00;287.361,00;271.714,00;123,00;4.230,00;226.901,00;184.040,00
34;ou_Base_espumante;  Base espumante moscatel;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.794,00;0,00;18.418,00;22.162,00;25.921,00;26.483,00;37.395,00;77.054,00;131.739,00;139.070,00;109.200,00;115.468,00;23.703,00;49.734,00;720.603,00;722.984,00
35;ou_Bebida;  Bebida de uva;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.767.072,00;2.977.407,00;4.533.973,00;5.097.873,00;5.369.833,00;3.888.187,00;1.279.586,00;763.368,00;532.821,00;261.223,00;291.188,00;70.999,00;2.801,00;1.483,00;10.297,00;10.330,00;498.512,00;354.511,00;324.298,00;139.943,00;16.780,00
36;ou_Borra_liqwuida;  Borra liquida;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.000,00;13.000,00;22.016,00;21.980,00;22.000,00;33.381,00;24.091,00;15.000,00;20.795,00;11.600,00;17.398,00;22.975,00;935,00;49.840,00;72.600,00
37;ou_Borra_seca;  Borra seca;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24.543,00;18.640,00;0,00;46.000,00;73.006,00;89.000,00;62.825,00;106.400,00;128.754,00;57.292,00;4.970,00;721.280,00;153.770,00;146.260,00;414.100,00;122.525,00;53.220,00
38;ou_Brandy,  Brandy (conhaque),9.388.296,00;9.893.167,00;11.876.098,00;12.156.057,00;12.885.577,00;11.418.527,00;14.938.849,00;12.858.163,00;12.014.556,00;9.991.254,00;2.593.406,00;1.637.947,00;1.348.154,00;1.212.182,00;1.074.816,00;1.551.097,00;2.308.675,00;1.553.986,00;1.786.613,00;2.232.781,00;1.464.094,00;1.627.961,00;1.488.284,00;1.278.706,00;1.519.307,00;1.846.401,00;2.331.889,00;2.201.034,00;2.441.572,00;2.480.893,00;2.035.067,00;2.018.918,00;2.030.651,00;2.729.201,00;2.505.882,00;2.074.381,00;5.500,00;5.929,00;6.606,00;7.151,00;6.448,00;5.640,00;5.495,00;6.276,00;6.625,00;8.118,00;8.253,00;5.089,00;4.652,00;5.015,00;7.966,00;7.311,00;4.407,00;4.506,00
39;ou_Cooler;  Cooler;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.062.619,00;8.806.545,00;4.474.031,00;2.649.267,00;3.190.379,00;1.975.289,00;2.756.302,00;2.798.706,00;2.664.342,00;3.078.523,00;4.571.501,00;5.764.233,00;9.424.282,00;10.847.415,00;10.994.658,00;10.423.992,00;7.355.796,00;6.674.776,00;6.005.392,00;5.067.810,00;5.008.953,00;4.367.404,00;4.561.959,00;4.674.272,00;4.684.087,00;4.258.333,00;4.028.017,00;4.045.218,00;3.297.202,00;2.450.732,00;2.471.612,00;3.091.682,00;3.782.516,00;6.260.381,00;6.107.943,00;4.505.384,00;4.321.881,00
40;ou_Coquetel;  Coquetel com vinho;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.428.500,00;1.286.524,00;932.979,00;798.624,00;791.532,00;1.354.734,00;977.962,00;805.235,00;907.199,00;806.955,00;736.496,00;611.787,00;506.532,00;418.433,00;349.836,00;269.701,00;205.664,00;244.184,00;292.420,00;397.156,00
41;ou_Destilado;  Destilado de vinho;533.987,00;1.023.876,00;1.573.023,00;1.485.567,00;1.409.986,00;1.793.135,00;1.373.075,00;780.548,00;866.773,00;3.062.750,00;1.778.900,00;2.728.959,00;3.466.121,00;2.029.714,00;1.678.482,00;1.460.361,00;5.142.969,00;2.601.744,00;2.220.670,00;1.382.427,00;577.779,00;181.500,00;109.142,00;71.000,00;236.400,00;135.045,00;276.355,00;368.631,00;256.061,00;409.640,00;400.579,00;208.570,00;169.986,00;169.245,00;171.335,00;167.878,00;194.434,00;139.410,00;32.281,00;100,00;31.814,00;90.364,00;30.000,00;24.838,00;150,00;0,00;6.700,00;0,00;82,00;309,00;200,00;175,00;33,00;245,00
42;ou_Filtrado_doce;  Filtrado doce;346.403,00;432.991,00;670.626,00;837.970,00;1.039.110,00;1.353.194,00;1.792.832,00;2.292.414,00;2.396.689,00;3.374.608,00;4.414.074,00;3.861.367,00;4.261.912,00;4.062.927,00;4.994.248,00;6.005.137,00;5.065.559,00;6.529.116,00;5.574.201,00;6.698.678,00;7.009.725,00;8.163.189,00;7.140.569,00;8.373.602,00;12.190.120,00;11.222.169,00;8.890.818,00;11.400.130,00;11.506.197,00;14.457.195,00;11.065.803,00;10.253.296,00;9.105.252,00;7.954.174,00;8.558.393,00;7.990.925,00;7.820.382,00;7.586.058,00;7.551.842,00;6.533.888,00;6.611.313,00;7.001.836,00;7.108.554,00;6.685.648,00;6.267.047,00;6.001.714,00;4.225.414,00;4.208.753,00;3.867.645,00;4.076.204,00;2.415.338,00;2.430.821,00;2.339.403,00;2.366.601,00
43;ou_Jeropiga;  Jeropiga;0,00;0,00;0,00;0,00;0,00;0,00;48.203,00;34.624,00;56.372,00;47.738,00;25.352,00;4.236,00;30.410,00;25.618,00;36.717,00;130.094,00;86.296,00;19.124,00;59.251,00;49.075,00;47.536,00;35.880,00;25.440,00;25.053,00;36.612,00;33.024,00;85.560,00;78.504,00;49.339,00;71.800,00;66.197,00;66.824,00;5.003,00;52.987,00;31.123,00;23.553,00;46.926,00;19.926,00;10.796,00;14.443,00;37.310,00;57.887,00;55.050,00;94.860,00;64.937,00;58.860,00;14.429,00;508,00;173,00;0,00;1.267,00;1.763,00;1.392,00;346,00
44;ou_Mistelas;  Mistelas;178.350,00;81.510,00;133.865,00;160.470,00;45.878,00;272.141,00;88.300,00;195.060,00;2.217.900,00;6.293.317,00;3.806.641,00;4.518.098,00;2.068.930,00;872.156,00;1.095.044,00;83.792,00;320.098,00;188.048,00;221.836,00;8.265,00;175.827,00;0,00;91.000,00;1.229.584,00;1.968.299,00;986.673,00;906.081,00;420.127,00;108.555,00;27.060,00;0,00;6.619,00;650.136,00;10.435,00;3.741,00;5.009,00;4.500,00;3.430,00;3.340,00;7.034,00;26.577,00;983,00;5.097,00;1.655,00;948,00;1.144,00;835,00;1.194,00;1.902,00;3.765,00;1.201,00;9.075,00;4.080,00;1.668,00
45;ou_Mosto_concentrado;  Mosto concentrado;44.971,00;20.502,00;0,00;0,00;761.417,00;251.197,00;309.196,00;84.058,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;42.000,00;0,00;54.120,00;55.728,00;124.870,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
46;ou_Mosto_uva;  Mosto de uva;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;717,00;233.420,00;7.740,00;2.000,00;0,00;0,00;12.438,00;291.399,00;29.304,00;325.562,00;1.818.425,00;335.966,00;9.458,00;63.971,00;715.708,00;5.736.852,00;48.044,00;803.171,00;1.579.638,00;359.626,00
47;ou_Mosto_sulfitado;  Mosto sulfitado;401.030,00;410.850,00;447.600,00;1.724.244,00;239.200,00;34.300,00;420.300,00;746.326,00;327.450,00;485.800,00;113.550,00;360.180,00;607.630,00;215.868,00;914.641,00;57.717,00;218.400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.982,00;0,00;0,00;0,00;88.000,00;180.900,00;369.070,00;2.080.050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;94.000,00;0,00;0,00;0,00;0,00
48;ou_Nectar;  Nectar de uva;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.085.422,00;451.845,00;362.230,00;358.963,00;541.685,00;2.019.104,00;4.933.019,00;5.397.459,00;5.703.340,00;5.644.055,00;5.347.775,00;3.488.907,00;3.959.884,00;3.288.046,00;4.727.294,00;3.517.417,00;4.006.608,00;3.319.597,00;4.021.229,00;4.719.055,00;3.604.413,00
49;ou_Outros_produtos;  Outros produtos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.491,00;1.579.563,00;5.934,00;597.586,00;743.367,00;418.132,00;284.824,00;385.029,00;484.205,00;529.274,00;639.191,00;660.042,00;763.041,00;1.082.923,00;1.773.526,00;2.294.581,00;2.543.754,00;2.105.686,00;7.406.812,00;7.459.271,00
50;ou_Polpa;  Polpa de uva;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;832.399,00;940.619,00;987.828,00;1.177.805,00;1.316.846,00;1.339.958,00;2.774.322,00;1.875.782,00;1.995.839,00;1.981.851,00;2.358.125,00;2.500.025,00;1.924.093,00;1.876.212,00;1.853.162,00;1.838.395,00;1.129.453,00;1.002.033,00;1.058.011,00;1.331.651,00
51;ou_Preparado_liquido;  Preparado liquido para refresco;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;94.231,00;91.243,00;126.667,00;632.074,00;753.842,00;694.816,00;467.005,00;377.010,00;367.193,00;613.313,00;623.481,00;259.320,00;160.245,00;33.684,00;30.519,00;76.888,00;52.567,00;11.366,00;23.455,00;19.711,00;17.178,00
52;ou_Refrigerante;  Refrigerante 50% suco;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40.574,00;110.648,00;144.945,00;175.954,00;265.026,00;501.876,00
53;ou_Sangria;  Sangria;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;330.576,00;1.118.654,00;1.142.453,00;1.208.403,00;541.088,00;455.704,00;192.082,00;172.214,00;158.868,00;73.590,00;76.039,00;86.279,00;131.599,00;77.070,00;62.272,00;58.498,00;67.279,00;11.017,00;17.222,00;95.605,00;84.157,00
54;ou_Vinagre_balsamico;  Vinagre balsamico;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.059,00;9.338,00;9.344,00;17.384,00;20.395,00;36.937,00;67.502,00;78.540,00;102.259,00;122.749,00;124.379,00;120.677,00;101.991,00;81.944,00;133.714,00;211.653,00;248.771,00;332.217,00;296.664,00;338.926,00
55;ou_Vinagre_duplo;  Vinagre duplo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;277.450,00;93.100,00;125.312,00;479.747,00;687.430,00;426.804,00;912.242,00;875.720,00;1.208.132,00;3.233.270,00;969.702,00;1.164.527,00;1.083.539,00;975.992,00;888.589,00;1.130.092,00;1.075.579,00;795.060,00;987.142,00;1.769.130,00
56;ou_Vinagre_simples;  Vinagre simples;1.359.297,00;1.256.068,00;1.524.908,00;1.426.737,00;1.717.666,00;1.574.960,00;748.459,00;1.549.579,00;2.452.955,00;2.144.256,00;2.052.253,00;2.296.456,00;2.434.183,00;2.490.691,00;2.690.012,00;3.397.749,00;2.503.550,00;2.156.496,00;2.696.620,00;1.067.310,00;362.275,00;544.002,00;1.614.757,00;1.521.123,00;1.287.211,00;2.921.137,00;3.303.855,00;2.472.555,00;2.394.887,00;2.426.530,00;6.654.097,00;1.767.848,00;1.587.601,00;2.272.996,00;1.659.785,00;1.785.401,00;2.088.195,00;2.338.035,00;2.813.447,00;2.996.318,00;3.336.175,00;3.386.303,00;4.027.358,00;8.049.936,00;8.180.657,00;8.188.031,00;8.186.761,00;7.686.691,00;6.994.467,00;6.246.945,00;6.049.584,00;5.647.166,00;5.309.881,00;5.047.280,00
57;ou_Vinho_acetificado;  Vinho acetificado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.224.172,00;8.162.500,00;4.606.230,00;2.784.540,00;3.715.390,00;3.920.000,00;2.947.650,00;4.314.150,00;3.396.380,00;1.959.030,00;892.770,00;921.000,00;1.547.161,00;808.389,00;1.123.858,00;983.700,00;2.110.450,00;3.154.800,00;4.465.675,00;3.359.266,00;3.097.566,00;2.769.202,00;2.158.993,00;2.592.380,00;1.879.227,00;1.448.086,00;1.052.563,00;194.020,00
58;ou_Vinho_base;  Vinho base para espumantes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19.456,00;30.000,00;68,00;0,00;0,00;10.649,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
59;ou_Vinho_composto;  Vinho composto;3.386.173,00;3.645.774,00;3.921.573,00;4.168.841,00;3.670.736,00;3.493.104,00;5.429.800,00;5.170.582,00;5.649.977,00;976.174,00;697.908,00;579.372,00;708.876,00;657.957,00;656.837,00;1.081.646,00;2.008.030,00;1.803.640,00;1.381.934,00;1.754.501,00;3.746.797,00;3.842.243,00;375.229,00;884.622,00;559.442,00;645.253,00;559.501,00;847.456,00;1.137.668,00;1.199.898,00;1.084.344,00;276.791,00;300,00;582.970,00;1.251.605,00;1.104.777,00;844.292,00;898.156,00;1.065.845,00;542.123,00;661.586,00;662.965,00;510.914,00;595.513,00;450.121,00;413.735,00;377.685,00;485.944,00;249.165,00;366.549,00;63.625,00;227.116,00;32.000,00;981,00
60;ou_Vinho_licoroso;  Vinho licoroso;3.013.056,00;2.475.632,00;2.407.816,00;2.443.944,00;1.921.867,00;2.205.036,00;2.474.364,00;3.027.434,00;3.094.302,00;2.531.379,00;2.077.542,00;1.940.670,00;2.347.859,00;1.800.611,00;1.708.907,00;1.598.767,00;1.771.158,00;1.370.676,00;1.243.637,00;1.278.729,00;937.996,00;966.627,00;812.035,00;811.985,00;735.364,00;796.208,00;814.706,00;756.557,00;1.655.907,00;1.013.137,00;1.110.159,00;957.388,00;926.253,00;889.520,00;771.129,00;741.139,00;727.728,00;587.652,00;557.062,00;591.313,00;638.487,00;593.486,00;645.341,00;609.153,00;616.904,00;510.975,00;546.189,00;496.746,00;491.165,00;465.964,00;362.340,00;376.597,00;385.006,00;421.974,00
61;ou_Vinho_leve;  Vinho leve;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;198,00;306,00;396,00;0,00;27,00;132.064,00
62;ou_Vinho_gaseificado;  Vinho gaseificado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;143,00;136,00;4.012,00;53.495,00;14.947,00;410.215,003
